1;172705;3.865;964.149;102.710;960.284
2;31409;2.242;942.931;103.505;940.689
3;200110;9.865;877.786;101.020;867.921
4;32430;3.149;826.699;64.352;823.550
5;30644;90.222;902.334;360.926;812.112
6;59689;1.918;806.266;70.620;804.348
7;286095;56.715;854.860;322.763;798.145
8;12167;32.462;830.209;298.378;797.747
9;180463;2.923;800.071;65.069;797.148
10;48290;47.927;843.538;578.334;795.611
11;235046;75.335;869.305;339.992;793.970
12;21460;3.445;793.897;110.837;790.452
13;262737;4.974;795.260;76.384;790.286
14;158585;3.168;786.902;83.731;783.734
15;986;33.053;811.098;292.401;778.045
16;12157;2.229;777.966;69.240;775.737
17;115415;21.164;793.404;535.991;772.240
18;274502;1.991;770.591;57.233;768.600
19;164469;35.820;800.732;545.761;764.912
20;299333;1.844;765.980;53.991;764.136
21;167454;1.594;765.392;50.667;763.798
22;294090;1.527;764.793;64.077;763.266
23;224254;1.717;764.737;40.084;763.020
24;25792;22.589;782.940;99.302;760.351
25;105810;3.102;763.385;69.468;760.283
26;125473;72.009;831.296;325.105;759.287
27;192568;210.726;969.298;463.583;758.572
28;290146;81.183;835.193;583.856;754.010
29;245861;90.010;843.443;341.154;753.433
30;41318;120.329;871.886;621.367;751.557
31;75007;98.822;850.016;599.618;751.194
32;297439;23.700;773.537;273.646;749.837
33;132093;12.698;759.916;136.869;747.218
34;169512;3.651;748.313;114.940;744.662
35;142350;64.982;806.707;312.224;741.725
36;39164;2.439;739.394;59.570;736.955
37;209123;2.205;739.141;69.049;736.936
38;172652;106.244;834.079;591.467;727.835
39;181963;2.651;728.742;46.926;726.091
40;18605;4.004;729.921;69.432;725.917
41;74144;97.219;820.391;579.334;723.172
42;110567;73.784;795.600;314.389;721.816
43;127819;92.439;813.645;573.243;721.206
44;113502;3.010;723.513;76.555;720.503
45;233969;3.794;723.768;64.623;719.974
46;226944;2.379;722.147;50.173;719.768
47;73697;3.826;723.130;62.025;719.304
48;147623;59.085;776.952;298.374;717.867
49;165538;91.411;808.963;330.595;717.552
50;95796;11.419;728.732;115.343;717.313
